Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Gene ontology (GO),Ensembl_Genomes_Transcript
K1QL91,K1QL91_CRAGI,unreviewed,F-box only protein 11,CGI_10002242,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),870,ubiquitin ligase complex [GO:0000151]; zinc ion binding [GO:0008270]; protein ubiquitination [GO:0016567],EKC22461
K1RKD8,K1RKD8_CRAGI,unreviewed,Uncharacterized protein,CGI_10009568,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),163,,EKC34766
K1RE48,K1RE48_CRAGI,unreviewed,CCR4-NOT transcription complex subunit 6-like protein,CGI_10017224,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),871,,EKC39585
K1RJ32,K1RJ32_CRAGI,unreviewed,Putative ubiquitin thioesterase L96,CGI_10019977,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1636,,EKC34266
K1PZ08,K1PZ08_CRAGI,unreviewed,Ras-related protein Rab-7a,CGI_10001648 CGI_10003329,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),205,GTP binding [GO:0005525]; GTPase activity [GO:0003924],"EKC27591,EKC21785"
K1RTQ6,K1RTQ6_CRAGI,unreviewed,Fructose-bisphosphate aldolase (EC 4.1.2.13),CGI_10025556,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),363,fructose-bisphosphate aldolase activity [GO:0004332]; glycolytic process [GO:0006096],EKC37976
K1PWZ9,K1PWZ9_CRAGI,unreviewed,Zinc transporter 7-B,CGI_10008946,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),609,integral component of membrane [GO:0016021]; small-subunit processome [GO:0032040]; cation transmembrane transporter activity [GO:0008324],EKC28857
K1QQ93,K1QQ93_CRAGI,unreviewed,Adenosine kinase 1,CGI_10025016,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),445,adenosine kinase activity [GO:0004001]; purine ribonucleoside salvage [GO:0006166],EKC31015
K1P7M1,K1P7M1_CRAGI,unreviewed,Protocadherin-11 Y-linked,CGI_10008007,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1045,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156],EKC19647
K1RI17,K1RI17_CRAGI,unreviewed,Apoptosis 2 inhibitor,CGI_10026771,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),327,,EKC41180
K1S2Y4,K1S2Y4_CRAGI,unreviewed,Uncharacterized protein,CGI_10028473,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),242,anaphase-promoting complex [GO:0005680]; integral component of membrane [GO:0016021]; ubiquitin-protein transferase activity [GO:0004842],EKC41726
K1P9W8,K1P9W8_CRAGI,unreviewed,Supervillin,CGI_10014153,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1973,actin filament binding [GO:0051015]; cytoskeleton organization [GO:0007010],EKC18223
K1QI67,K1QI67_CRAGI,unreviewed,SHC-transforming protein 1,CGI_10004053,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),514,intracellular [GO:0005622]; receptor tyrosine kinase binding [GO:0030971]; activation of MAPK activity [GO:0000187]; intracellular signal transduction [GO:0035556],EKC21341
K1Q7L4,K1Q7L4_CRAGI,unreviewed,Transmembrane channel-like protein 7,CGI_10013960,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1644,integral component of membrane [GO:0016021],EKC29913
K1PN47,K1PN47_CRAGI,unreviewed,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",CGI_10000050,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),184,electron carrier activity [GO:0009055]; iron-sulfur cluster binding [GO:0051536]; oxidoreductase activity [GO:0016491]; tricarboxylic acid cycle [GO:0006099],EKC17915
K1QVZ5,K1QVZ5_CRAGI,unreviewed,Hsp90 co-chaperone Cdc37,CGI_10008523,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),270,protein kinase binding [GO:0019901],EKC41037
K1R8Z9,K1R8Z9_CRAGI,unreviewed,Amino acid transporter,CGI_10017841,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),509,integral component of membrane [GO:0016021]; symporter activity [GO:0015293],EKC42273
K1QC10,K1QC10_CRAGI,unreviewed,GTP-binding protein 1,CGI_10025807,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),607,GTP binding [GO:0005525]; GTPase activity [GO:0003924],EKC26350
K1R7U4,K1R7U4_CRAGI,unreviewed,Uncharacterized protein,CGI_10018585,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),224,,EKC37270
K1PPL3,K1PPL3_CRAGI,unreviewed,Striatin-3,CGI_10005252,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),799,,EKC20814
K1QIS5,K1QIS5_CRAGI,unreviewed,Heat shock 70 kDa protein 12A,CGI_10004822,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),614,,EKC28800
K1RJC8,K1RJC8_CRAGI,unreviewed,Nuclear receptor coactivator 4,CGI_10018212,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),597,,EKC34356
K1Q358,K1Q358_CRAGI,unreviewed,60S acidic ribosomal protein P2,CGI_10011577,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),112,ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translational elongation [GO:0006414],EKC28353
K1R259,K1R259_CRAGI,unreviewed,Collagen alpha-5(VI) chain,CGI_10022101,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),419,collagen trimer [GO:0005581],EKC37574
K1RA11,K1RA11_CRAGI,unreviewed,Angiotensin-converting enzyme (EC 3.4.-.-),CGI_10023652,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),607,membrane [GO:0016020]; carboxypeptidase activity [GO:0004180]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; peptidyl-dipeptidase activity [GO:0008241],EKC42538
K1PS71,K1PS71_CRAGI,unreviewed,Uncharacterized protein,CGI_10008895,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),943,Golgi membrane [GO:0000139]; protein transporter activity [GO:0008565]; intracellular protein transport [GO:0006886]; vesicle fusion with Golgi apparatus [GO:0048280],EKC19295
K1Q559,K1Q559_CRAGI,unreviewed,Uncharacterized protein,CGI_10015430,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),714,,EKC31742
K1QKU6,K1QKU6_CRAGI,unreviewed,mRNA export factor,CGI_10015433,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),363,,EKC31744
K1QDS4,K1QDS4_CRAGI,unreviewed,Zinc transporter ZIP1,CGI_10025188,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),334,integral component of membrane [GO:0016021]; metal ion transmembrane transporter activity [GO:0046873],EKC32098
K1PLA1,K1PLA1_CRAGI,unreviewed,Protein-serine/threonine kinase (EC 2.7.11.-),CGI_10001604,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),528,ATP binding [GO:0005524]; G-protein coupled receptor kinase activity [GO:0004703]; signal transduction [GO:0007165],EKC17220
K1Q8L9,K1Q8L9_CRAGI,unreviewed,Eukaryotic translation initiation factor 5,CGI_10013849,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),448,translation initiation factor activity [GO:0003743],EKC27694
K1QWI1,K1QWI1_CRAGI,unreviewed,Uncharacterized protein (Fragment),CGI_10000425,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),247,,EKC41257
K1R1W9,K1R1W9_CRAGI,unreviewed,Nicalin-1,CGI_10018119,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),548,integral component of membrane [GO:0016021]; regulation of signal transduction [GO:0009966],EKC37504
K1QS81,K1QS81_CRAGI,unreviewed,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",CGI_10015817,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1050,intracellular [GO:0005622]; kinase activity [GO:0016301]; phosphatidylinositol phosphorylation [GO:0046854]; phosphatidylinositol-mediated signaling [GO:0048015],EKC39772
K1QXD4,K1QXD4_CRAGI,unreviewed,Coactosin,CGI_10017742,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),325,intracellular [GO:0005622]; actin binding [GO:0003779],EKC33590
K1QHC1,K1QHC1_CRAGI,unreviewed,Putative ammonium transporter 1,CGI_10009088,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),885,integral component of membrane [GO:0016021]; ammonium transmembrane transporter activity [GO:0008519],EKC28220
K1PTF5,K1PTF5_CRAGI,unreviewed,Uncharacterized protein,CGI_10010943,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),203,integral component of membrane [GO:0016021],EKC24958
K1RD49,K1RD49_CRAGI,unreviewed,Hexosyltransferase (EC 2.4.1.-),CGI_10014463,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),321,Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; galactosyltransferase activity [GO:0008378]; protein glycosylation [GO:0006486],EKC32046
K1R252,K1R252_CRAGI,unreviewed,"Putative methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",CGI_10016140,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),525,methylmalonate-semialdehyde dehydrogenase (acylating) activity [GO:0004491],EKC35210
K1QAY9,K1QAY9_CRAGI,unreviewed,Protein FAM60A,CGI_10016499,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),283,,EKC25990
K1R5L6,K1R5L6_CRAGI,unreviewed,GPN-loop GTPase 1,CGI_10027037,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),388,GTPase activity [GO:0003924],EKC36495
K1QPC7,K1QPC7_CRAGI,unreviewed,Proline-rich transmembrane protein 1,CGI_10008748,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),172,integral component of membrane [GO:0016021]; response to biotic stimulus [GO:0009607],EKC23371
K1S5U0,K1S5U0_CRAGI,unreviewed,Spermatogenesis-associated protein 1,CGI_10021364,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1128,,EKC42751
K1RJV4,K1RJV4_CRAGI,unreviewed,Heat shock 70 kDa protein 12A,CGI_10016264,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),575,,EKC34496
K1QAW2,K1QAW2_CRAGI,unreviewed,Lysosomal-associated transmembrane protein 4A,CGI_10026387,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),287,integral component of membrane [GO:0016021],EKC33892
K1P8T7,K1P8T7_CRAGI,unreviewed,Fibrillin-3,CGI_10006796,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),2469,proteinaceous extracellular matrix [GO:0005578]; calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201],EKC20122
K1P567,K1P567_CRAGI,unreviewed,Putative methylcytosine dioxygenase TET2,CGI_10011030,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1231,dioxygenase activity [GO:0051213],EKC18772
K1QUH9,K1QUH9_CRAGI,unreviewed,UNC5C-like protein,CGI_10014885,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),602,integral component of membrane [GO:0016021]; signal transduction [GO:0007165],EKC25206
K1QVK3,K1QVK3_CRAGI,unreviewed,Aminopeptidase (EC 3.4.11.-),CGI_10026928,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),952,integral component of membrane [GO:0016021]; metalloaminopeptidase activity [GO:0070006]; zinc ion binding [GO:0008270]; angiotensin maturation [GO:0002003],EKC37643
K1P3C3,K1P3C3_CRAGI,unreviewed,"Beta-1,4-N-acetylgalactosaminyltransferase bre-4",CGI_10013995,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),170,"transferase activity, transferring glycosyl groups [GO:0016757]; carbohydrate metabolic process [GO:0005975]",EKC18267
K1Q760,K1Q760_CRAGI,unreviewed,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP]",CGI_10014915,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),658,GTP binding [GO:0005525]; kinase activity [GO:0016301]; phosphoenolpyruvate carboxykinase (GTP) activity [GO:0004613]; gluconeogenesis [GO:0006094],EKC27094
K1QE53,K1QE53_CRAGI,unreviewed,XK-related protein,CGI_10026220,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),590,integral component of membrane [GO:0016021],EKC32233
K1R4Q7,K1R4Q7_CRAGI,unreviewed,Collagen alpha-2(VIII) chain,CGI_10016424,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),196,collagen trimer [GO:0005581]; integral component of membrane [GO:0016021],EKC28921
K1PKE4,K1PKE4_CRAGI,unreviewed,Nipped-B-like protein,CGI_10002811,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),2010,chromatin binding [GO:0003682]; mitotic sister chromatid cohesion [GO:0007064]; regulation of gene expression [GO:0010468],EKC22078
K1PPY6,K1PPY6_CRAGI,unreviewed,Small nuclear ribonucleoprotein-associated protein B,CGI_10017925,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),175,intracellular ribonucleoprotein complex [GO:0030529]; viral nucleocapsid [GO:0019013],EKC23678
K1PY33,K1PY33_CRAGI,unreviewed,Uncharacterized protein,CGI_10024250,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),377,integral component of membrane [GO:0016021],EKC29132
K1RGX2,K1RGX2_CRAGI,unreviewed,"A kinase anchor protein 10, mitochondrial",CGI_10019885,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),492,kinase activity [GO:0016301],EKC33386
K1PN79,K1PN79_CRAGI,unreviewed,Uncharacterized protein C17orf39,CGI_10006216,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),201,,EKC20344
K1RB49,K1RB49_CRAGI,unreviewed,Uncharacterized protein,CGI_10015847,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),583,methyltransferase activity [GO:0008168]; protein methylation [GO:0006479],EKC31306
K1QVW7,K1QVW7_CRAGI,unreviewed,Down syndrome cell adhesion molecule,CGI_10018854,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),2111,integral component of plasma membrane [GO:0005887]; cell adhesion [GO:0007155]; nervous system development [GO:0007399],EKC35374
K1R2K9,K1R2K9_CRAGI,unreviewed,Pleckstrin-like protein domain family B member 2,CGI_10018855,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),603,,EKC35375
K1PU86,K1PU86_CRAGI,unreviewed,Thioredoxin reductase 3,CGI_10022651,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),491,cell [GO:0005623]; flavin adenine dinucleotide binding [GO:0050660]; thioredoxin-disulfide reductase activity [GO:0004791]; cell redox homeostasis [GO:0045454],EKC27867
K1QKS2,K1QKS2_CRAGI,unreviewed,Kelch-like protein 26,CGI_10025783,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),582,,EKC34423
K1PTN3,K1PTN3_CRAGI,unreviewed,Uncharacterized protein,CGI_10007667,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),397,,EKC19765
K1RDD4,K1RDD4_CRAGI,unreviewed,Polycomb protein SCMH1,CGI_10028440,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),574,"nucleus [GO:0005634]; regulation of transcription, DNA-templated [GO:0006355]",EKC41694
K1R1S9,K1R1S9_CRAGI,unreviewed,Receptor-type tyrosine-protein phosphatase T,CGI_10004361,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),915,integral component of membrane [GO:0016021]; protein tyrosine phosphatase activity [GO:0004725],EKC37474
K1PVD0,K1PVD0_CRAGI,unreviewed,Semaphorin-1A,CGI_10021619,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),690,integral component of membrane [GO:0016021],EKC28312
K1QNB3,K1QNB3_CRAGI,unreviewed,Neurotrypsin,CGI_10021829,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1483,membrane [GO:0016020]; scavenger receptor activity [GO:0005044]; serine-type endopeptidase activity [GO:0004252],EKC30355
K1PSR5,K1PSR5_CRAGI,unreviewed,"Fatty acid-binding protein, heart",CGI_10008477,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),137,lipid binding [GO:0008289]; transporter activity [GO:0005215],EKC19445
K1PBH1,K1PBH1_CRAGI,unreviewed,Sarcoplasmic calcium-binding protein,CGI_10004435,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),179,calcium ion binding [GO:0005509],EKC21137
K1R5E7,K1R5E7_CRAGI,unreviewed,Cathepsin L,CGI_10010587,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),360,cysteine-type peptidase activity [GO:0008234],EKC36430
K1R043,K1R043_CRAGI,unreviewed,Uncharacterized protein,CGI_10015393,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),346,,EKC34470
K1PKR4,K1PKR4_CRAGI,unreviewed,A-kinase anchor protein 14,CGI_10014559,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),191,kinase activity [GO:0016301],EKC24647
K1PNK8,K1PNK8_CRAGI,unreviewed,Ankyrin repeat domain-containing protein 54,CGI_10010381,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),832,signal transduction [GO:0007165],EKC25597
K1Q982,K1Q982_CRAGI,unreviewed,Malignant fibrous histiocytoma-amplified sequence 1,CGI_10013238,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1032,intracellular [GO:0005622]; GTP binding [GO:0005525]; small GTPase mediated signal transduction [GO:0007264],EKC27899
K1RII3,K1RII3_CRAGI,unreviewed,Uncharacterized protein,CGI_10008294,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),365,,EKC34006
A0A167QPK5,A0A167QPK5_CRAGI,unreviewed,Hypoxia-inducible factor alpha-like isoform a,,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),888,"nucleus [GO:0005634]; DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]",EKC20066
A0A167QPN7,A0A167QPN7_CRAGI,unreviewed,Hypoxia-inducible factor alpha-like isoform b,,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),887,"nucleus [GO:0005634]; DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]",EKC20066
A0A167QPS5,A0A167QPS5_CRAGI,unreviewed,Hypoxia-inducible factor alpha-like isoform c,,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),880,"nucleus [GO:0005634]; DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]",EKC20066
A0A167QPT0,A0A167QPT0_CRAGI,unreviewed,Hypoxia-inducible factor alpha-like isoform d,,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),827,"cytoplasm [GO:0005737]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]; transcription factor activity, sequence-specific DNA binding [GO:0003700]",EKC20066
K1QF20,K1QF20_CRAGI,unreviewed,Endothelial PAS domain-containing protein 1,CGI_10006937,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),746,"cytoplasm [GO:0005737]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]; transcription factor activity, sequence-specific DNA binding [GO:0003700]",EKC20066
K1S3U6,K1S3U6_CRAGI,unreviewed,B-cell receptor-associated protein 31,CGI_10020710,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),331,endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; intracellular protein transport [GO:0006886],EKC42061
